version: 1.0,published: 04/09/2019,date queried: 03/23/2020,email: robokids@live.ca,grade: 1,"domains: general, science, math, social_studies",,,,,,
dolly,science,"9,10,11,12",10,,MC,5,"A. ____ kept her voice carefully neutral. B. Truly, ____ has taken us into the age of biological control.",knead,forestry,grate,*dolly
ecologically,science,"9,10,11,12",10,,MC,5,A. Poisoning the earth's atmosphere is ____ and morally unjustifiable. B. The use of disposable products is considered ____ unsound.,clade,*ecologically,gallium,megaspore
eudicot,science,"9,10,11,12",10,,MC,5,"A. The white campion, Silene latifolia, is a common ____ weed found in both North America and Europe. B. Many ____ species have experienced additional whole genome duplications or triplications.",*eudicot,nocturnal,indivisible,radiator
fissure,science,"9,10,11,12",10,,MC,5,"A. Central vent and ____ eruptions represent the two basic ways in which magma can reach the surface. B. Ahead lay a large ____ in the ice, three feet across.",relativity,*fissure,smokestack,regenerate
fluorescence,science,"9,10,11,12",10,,MC,5,A. Slides were examined by ____ microscope. B. The term broadly includes the commonly-used categories of ____ and phosphorescence.,beech,nematode,*fluorescence,superscript
forelimb,science,"9,10,11,12",10,,MC,5,"A. The arterial truck of the ____ consists of axillary, brachial, and radial arteries. B. The Grip Strength Meter was used to assess ____ function.",acceptor,taxon,*forelimb,illuminance
galilean,science,"9,10,11,12",10,,MC,5,"A. Maxwell's theory, as well as the ____ and Lorentz transformations are also discussed. B. This may represent the ____ form of the expression, and, if so, would be all the more evidential.",frictionless,*galilean,mnemonic,ribonucleic
gasohol,science,"9,10,11,12",10,,MC,5,A. Expounded the spreading of ____ in China and abroad. Summarized the studies of ____. B. The tax on the ____ produced with self-produced gasoline shall be declared and paid according to the amount of the gasoline consumed for the production of ____ .,*gasohol,encode,halo,meristem
glycol,science,"9,10,11,12",10,,MC,5,"A. In most industries with potential ____ ether exposure, the health effects have never been studied. B. The term polyethylene ____ may be encountered in some formulations.",cephalothorax,ethyl,*glycol,hornblende
gosling,science,"9,10,11,12",10,,MC,5,"A. A young goose is a ____. B. Their ____s never learned how to migrate, and their descendants live on.",ejecta,cementation,unequally,*gosling
gravitropism,science,"9,10,11,12",10,,MC,5,"A. It is well evidenced that gravity can influence the direction of growth of plants, fungi, and animals, a feature known as ____. B. Strangely, plants use the gene as part of their system for sensing gravity, called ____.",amniote,archaeopteryx,sessile,*gravitropism
gumdrop,science,"9,10,11,12",10,,MC,5,A. Sprinkle of the flour mixture over ____ mixture. B. This is a day where all ____ lovers can join together and appreciate the sugary candy.,millibar,bombard,*gumdrop,eccentricity
hemophilia,science,"9,10,11,12",10,,MC,5,A. Support your ____ treatment centre and comprehensive care team. B. Musculoskeletal manifestations of ____ include hemophilic arthropathy and hemophilic pseudotumor.,cartilaginous,aldehyde,bicarbonate,*hemophilia
hepatitis,science,"9,10,11,12",10,,MC,5,A. The ____ B virus has been isolated from breast milk. B. Vaccination is essential to protect people exposed to ____ B infection.,*hepatitis,superconductor,uracil,trajectory
histone,science,"9,10,11,12",10,,MC,5,"A. But the ____ Hdocument hasn't just been copied, it has been subjected to natural selection. B. In the ____ code the methylation target is known as H K where K stands for lysine.",*histone,yucca,tetrahedral,dihydrogen
humpback,science,"9,10,11,12",10,,MC,5,"A. Roads with unexpected ____ bridges, tightening-radius corners and reasonably free of police and radar traps. B. The numbers of ____ and fin whales had undergone similar increases.",overlying,recombinant,heterotrophic,*humpback
hydration,science,"9,10,11,12",10,,MC,5,A. The ____ enthalpies of some alkali metal ions and halide ions are shown in table 5.11. B. The hypercalcemia is easily treatable by ____ and withdrawal of the calcium containing antacids.,dissociation,tangential,*hydration,diversification
hypha,science,"9,10,11,12",10,,MC,5,A. The nutritional requirement of growth of Lactarius deliciosus ____ was studied. B. The effects of five fungicides on the ____ growth of Ganoderma lucidum were studied.,mandible,gazelle,borax,*hypha
interferometry,science,"9,10,11,12",10,,MC,5,A. The fundamental principle of stroboscopic shearing speckle ____ is discussed. B. In near Infrared waveband the adaptive optics and ____ have been used in large telescopes successfully.,hypha,*interferometry,sarcomere,keratin
interferon,science,"9,10,11,12",10,,MC,5,A. Loss of viral replication by ____ can lead to a substantial regression of liver disease and probably prolonged survival. B. A relation between liver failure and ____ alfa seems probable in the patients who did not have hepatic decompensation before treatment.,*interferon,bullfrog,thermonuclear,configuration
irregularly,science,"9,10,11,12",10,,MC,5,"A. Located off-center in the ____ shaped lake was a fountain. B. These clinics were held ____ on Sundays in rooms hired at the Copthorn Hotel, Glasgow.",ectoderm,neurotransmitt,pentane,*irregularly
lode,science,"9,10,11,12",10,,MC,5,A. The Sharper Image catalog is a mother ____ of men's gadgets and toys. B. We discovered the rich ____ bellied out.,clade,cladogram,apogee,*lode
lubricate,science,"9,10,11,12",10,,MC,5,A. Mineral oils are used to ____ machinery. B. Franklin's task was to ____ the discussions with the French.,*lubricate,polysaccharide,bioluminescence,mitochondrial
mafic,science,"9,10,11,12",10,,MC,5,"A. Alkali ____ subvolcanic body occurring in Bijiashan-Tongdongwan consists of clastic rock and lava. B. The ____ granulite xenolith was first reported to have occurred in Early Mesozoic diorite in Harkin region, Eastern Inner Mongolia Autonomous Region, China.",albedo,epidermal,colloidal,*mafic
megaspore,science,"9,10,11,12",10,,MC,5,A. Megaspore tetrad is linear. The chalazal ____ develops into an embryo sac of Polygonum type. B. The chalazal ____ of a linear tetrad develops into a polygonum type sac.,contractile,*megaspore,insecticide,photoperiodism
meltwater,science,"9,10,11,12",10,,MC,5,"A. The ____ puddled the flat sea ice. B. Melting glaciers that supply ____ for half the world's population and the constriction of rivers by hundreds of dams are also major problems, they say.",perigee,experimentally,drainage,*meltwater
metabolize,science,"9,10,11,12",10,,MC,5,A. Your body can take the time necessary to ____ fats. B. We ____ alcohol at different rates.,suction,bauxite,*metabolize,stromatolite
micrometer,science,"9,10,11,12",10,,MC,5,A. An optical telescope with a ____ is used to precisely adjust the polar axis of an equatorial radio telescope and any precise dial and clock will not be needed. B. Adjustable concentric tray ____ adjust wide Loading unloading structure can adjust ACF tacking wide correctly.,exocytosis,spatula,*micrometer,phylogeny
microsphere,science,"9,10,11,12",10,,MC,5,"A. CONCLUSION Perfluoropropane-albumin ____ injection could enhance the resolution of left ventricular endocardium, it has little side effect and will be appropriate for clinical application. B. Polypeptide and protein ____s can elevate drug availability, but drug devitalization and drug fast release can result in side effects during ____ preparation.",elongate,hominoid,theorize,*microsphere
mitotic,science,"9,10,11,12",10,,MC,5,"A. At the same time, coumarininduces the abnormal ____ of root tip cell, including chromosome bridge, fragment, binucleate cell, lagging chromosome and so on. B. The series of ____ cell divisions that produces a blastula from a fertilized ovum. It is the basis of the multicellularity of complex organisms.",dowel,terrarium,*mitotic,commercially
mucous,science,"9,10,11,12",10,,MC,5,"A. Because ____ can contain viruses and bacteria, it can spread infections to others. B. Swollen ____ membranes, red and enlarged blood vessels; inflammation of all the tissues of the eye.",francium,anatomical,carboniferous,*mucous
mutagen,science,"9,10,11,12",10,,MC,5,"A. However, BIS was to take bleomycin as a ____ to reflect the sensibility of lymphocyte to the ____. B. The pre-ozonation can strengthen the removing effect of ____ in the subsequent craft.",*mutagen,hydrate,arn,coordination
naphthalene,science,"9,10,11,12",10,,MC,5,A. The variation character of apparent consistency of the ____ and phenanthrene series compounds in oil has been detected by the technique. B. This indicates that N-methyl pyrrolidone is superior to ____ in comprehensive heat transfer performance and is suitable to be used in moderate-temperature heat pipe.,hypotonic,bicarbonate,*naphthalene,fluorescence
nuclide,science,"9,10,11,12",10,,MC,5,"A. Objective To investigate the diagnostic value of myocardial ____ imaging, coronary angiography and electrocardiogram treadmill exercise test on coronary heart disease. B. Objective To observe the correlation between ____ myocardial perfusion image(SPECT) and coronary angiography(CAG), and apply SPECT to assessment of the efficacy after coronary artery stents.",grate,*nuclide,anemia,updraft
pentane,science,"9,10,11,12",10,,MC,5,"A. By SCFE unit using ____ as solvent, the Saudi Arabian vacuum residue was separated into 1narrow fractions. The properties and composition of the narrow fractions and the VR were analyzed. B. Thermometers are filled with ____ or alcohol.",redshift,*pentane,herbaceous,oxidize
phosphor,science,"9,10,11,12",10,,MC,5,A. So a narrow vertical ____ strip is all you need: rapid luminous sampling will reconstruct the image as it sweeps past. B. Light is produced primarily by the ____ coating converting short-wave radiation to visible light.,*phosphor,angular,ursa,exocytosis
probeware,science,"9,10,11,12",10,,MC,5,A. He is best known for initiating the field of ____ for education. B. It developed the Vernier Software & Technology ____ for classrooms and mobile computers.,*probeware,flagellate,supercool,regenerate
radula,science,"9,10,11,12",10,,MC,5,"A. Many gastropods are grazers: they use their ____ to rasp away at algae. B. Unlike other molluscs , bivalves lack a ____ and feature labial palps, which carry food from the gills to the mouth.",ursa,*radula,brownian,unpaired
randomness,science,"9,10,11,12",10,,MC,5,A. It introduced an element of ____ to the situation. B. These cowards practice ____ in highly specific places.,*randomness,caecilian,hornwort,pelvis
recombine,science,"9,10,11,12",10,,MC,5,"A. The ____ of property is the main form which realizes the strategic adjustment. B. Adopting IPN techniques to ____ PVA and water glass, shaped size of interpenetrating networks structure.",demographer,extracellular,*recombine,soluble
sarcomere,science,"9,10,11,12",10,,MC,5,A. Results The length of ____ of rigor mortis without destroy is obviously shorter than that of restiffening. B. We speculated that mutations in ____ protein genes known to cause hypertrophic cardiomyopathy and dilated cardiomyopathy may be associated with left ventricular noncompaction.,wavefront,phagocytosis,tunicate,*sarcomere
septum,science,"9,10,11,12",10,,MC,5,A. Where the ____ meets the body wall it does so in a smooth curve. B. Donlan suffered a cracked skull and his nasal ____ was pushed out of place.,cropland,planetesimal,cervix,*septum
songbird,science,"9,10,11,12",10,,MC,5,"A. If the ____ population has thinned, the boats in the cove have multiplied. B. Strange how this ____ is heard mostly at night.",*songbird,fragmentation,survivorship,anterior
spatula,science,"9,10,11,12",10,,MC,5,"A. Use a rubber ____ to spread the batter evenly in the pan. B. With a metal ____ or the wooden peel, slip the pizza off the stone on to a serving tray.",*spatula,curvature,relativistic,anthropogenic
spew,science,"9,10,11,12",10,,MC,5,A. The drains ____ millions of gallons of raw sewage into the river. B. Groups like these use the Internet to ____ racial hatred.,ether,*spew,monosaccharide,hybridization
stimulant,science,"9,10,11,12",10,,MC,5,A. Tourism has acted as a ____ to the country's economy. B. Increases in new construction would be a ____ to the economy.,paleontology,nourishment,*stimulant,phototropism
stratospheric,science,"9,10,11,12",10,,MC,5,"A. If, for any reason, the ____ Ozone Layer becomes thin, its effectiveness as a barrier to UV rays decreases. B. During October 198a 1percent ____ ozone reduction was measured there.",spleen,dynamics,seasonally,*stratospheric
superconduct,science,"9,10,11,12",10,,MC,5,"A. High-temperature ____ AC cable is winded equally by a certain quantity of layers of the ____ tape- form materials, which are with a parallel distribution and are insulated each other. B. With the development of high temperature ____ and space technology, the requirements for the high efficiency, reliability and cooling max of the low-power cryocoolers will be higher.",rotifer,carboxyl,gradualism,*superconduct
taxon,science,"9,10,11,12",10,,MC,5,A. A scientific name of ____ at the rank of subfamily . Such names have the suffix - INAE. B. A scientific name of a ____ at the rank of superfamily . Such names have the suffix - OIDEA.,dipole,adiabatic,anthropoid,*taxon
thermonuclear,science,"9,10,11,12",10,,MC,5,A. Work on controlled ____ fusion proceeded secretly in both nations and in Britain. B. This finding was incompatible with a simple ____ origin.,nitrogenous,anthrax,sanitary,*thermonuclear
thorium,science,"9,10,11,12",10,,MC,5,"A. Uranium and ____ entered lay vocabularies even as world markets for them were spawned. B. Of these, uranium and ____ can be used to generate power in nuclear reactors.",spawn,uracil,*thorium,archaeopteryx
triton,science,"9,10,11,12",10,,MC,5,"A. Astronomers know that Pluto and ____ have nearly the same size, mass, and density. B. ____ roamed the shores raping anyone who took his fancy and earned himself the title Sea Satyr.",stabilize,myosin,*triton,lattice
unpolarized,science,"9,10,11,12",10,,MC,5,"A. We bought adapters to use our three-prong plugs in the two-prong, ____ outlets of the old house. B. The first part of this statement also applies to ____ light, as this can always be dissolved into polarized components.",ecologically,*unpolarized,fetal,superconductor
uphill,science,"9,10,11,12",10,,MC,5,A. He had been running ____ a long way. B. He has an ____ battle against rheumatics.,dissect,*uphill,diesel,protozoa
wavelet,science,"9,10,11,12",10,,MC,5,"A. The phase information of ____ transform used in the algorithm is invariant with respect to flat fading, and can resist multipath fading of frequency-selecting channel in quite a few degree. B. On the basis of integrating the ____ de-noising, the theory of phase space reconstruction and LSSVM, a modeling and forecasting technique is put forward.",venomous,adenosine,eudicot,*wavelet
abnormally,science,"9,10,11,12",9,,MC,5,A. Their departure was hastened by an ____ cold winter. B. His eyes were ____ large.,*abnormally,actin,abdominal,lubricant
airflow,science,"9,10,11,12",9,,MC,5,"A. There they test the ____ around their latest designs. B. However, turbulent ____ randomly alters the direction of lift on a flying wing.",*airflow,transmutation,shingle,linnaean
antiseptic,science,"9,10,11,12",9,,MC,5,A. Use ____ to clean and dress cuts. B. Cover the burn with an ____ dressing.,*antiseptic,antimony,gamete,glycerol
archaebacteria,science,"9,10,11,12",9,,MC,5,"A. These sequences included proteins from a diverse range of organisms, ranging from eubacteria and ____ to algae, fungi, and plants. B. Many genes that contribute to Galdieria's adaptations were not inherited from its ancestor red algae, but were acquired from bacteria or ____.",*archaebacteria,orangutan,eyespot,artificially
bacillus,science,"9,10,11,12",9,,MC,5,"A. After the tubercle ____ was identified, accurate diagnosis of tuberculosis, of the lungs and of other organs, became possible. B. Koch identified the tubercle ____ only in 1882.",*bacillus,eucalyptus,magnetosphere,spectra
bioremediation,science,"9,10,11,12",9,,MC,5,"A. However, there are some potential disadvantages in using ____: it only applies to biodegradable contaminants. B. ____ is currently attracting a lot of attention as a remedial technique.",prong,nuclide,*bioremediation,histone
borax,science,"9,10,11,12",9,,MC,5,"A. Instead, mix ordinary wallpaper paste with ____ to inhibit mould and fungus. B. It was cured in ____ by wholesalers from Chicago in 1892.",kerosene,fissure,*borax,mutant
convective,science,"9,10,11,12",9,,MC,5,"A. Towering ____ clouds rained down a hailstorm of ash, and firebrands even spanned the Grand Canyon of the Yellowstone. B. Any weakening of the stratospheric inversion would affect ____ processes and atmospheric circulation in general, thereby affecting weather and climate.",*convective,oily,capacitor,ethane
crustal,science,"9,10,11,12",9,,MC,5,"A. Using scissors, they demonstrated how the ____ building blocks moved around. B. They have repeatedly looked for a connection between ____ tides and earthquakes over the past few decades, but to no avail.",*crustal,pacemaker,citric,aerosol
detectable,science,"9,10,11,12",9,,MC,5,A. The noise is barely ____ by the human ear. B. There has been no ____ change in the patient's condition.,*detectable,roentgen,octave,untreated
engulf,science,"9,10,11,12",9,,MC,5,"A. The war is threatening to ____ the entire region. B. Darkness seemed to ____ them as they disappeared, swallowed up in a kind of tunnel way, running deep underground.",foliage,*engulf,silicate,mackerel
eucalyptus,science,"9,10,11,12",9,,MC,5,A. There were birds twittering in the ____ trees. B. Koalas eat very few things besides ____ leaves.,regulator,chromatic,*eucalyptus,guanine
exhalation,science,"9,10,11,12",9,,MC,5,"A. Milton let out his breath in a long ____. B. A pitiful ____, an obscurity, a memory.",gastrula,fluorite,*exhalation,regulatory
eyespot,science,"9,10,11,12",9,,MC,5,"A. There have been great advance in wheat sharp ____ study recently. In this article we talk about the disease's occurrences(Sentencedict.com), biology properties and the integrated disease control. B. When Dakin and Montgomerie pooled their ____ data with other published reports, ____ effects didn't show up among the top 7percent most successful maters of 10peacocks.",plasmodium,*eyespot,alkane,macrophages
farsightedness,science,"9,10,11,12",9,,MC,5,"A. The power of thought increases with education, experience, ____ and wisdom.Dr T.P.Chia B. People with a high degree of ____ along with astigmatism have less predictable results.",*farsightedness,hydrolysis,peptide,thyroxine
flagellate,science,"9,10,11,12",9,,MC,5,"A. But under bad condition, quantity of the ____ increase and water become pollution. B. A single - celled microorganism, especially a ____ protozoan of the genus Monas.",antinode,protostome,chisel,*flagellate
formic,science,"9,10,11,12",9,,MC,5,"A. Some ants eject ____ acid when irritated. B. N-formylmorpholine was synthesized using morpholine and ____ acid as starting materials, phosphorous acid as catalyst and cyclohexane as water carrying agent.",retrogradations,radula,*formic,millipede
gallbladder,science,"9,10,11,12",9,,MC,5,"A. Dissection of the ____ was concluded uneventfully, but during removal through the umbilical incision the specimen ruptured. B. Conclusion The obstructive jaundice, interstitial hepatitis and ____ carcinoma can be caused by clonorchiasis.",ionize,*gallbladder,downwind,mesoderm
hematite,science,"9,10,11,12",9,,MC,5,A. The iron minerals ____ and magnetite have high densities be-cause of the high atomic weight of iron. B. These are sold as a set pressed ____ metal magnets.,farsightedness,nonpoint,*hematite,vesicle
hexane,science,"9,10,11,12",9,,MC,5,"A. Di-isooctyl adipate was synthesized with ____ diacid and 2-ethyl hexanol as raw materials and p-toluene sulphonic acid as the catalyst. B. Enrich trichloroethylene in water with the method of ____ extraction, and determine it by capillary column gas chromatography.",porosity,basaltic,pulsar,*hexane
hookworm,science,"9,10,11,12",9,,MC,5,"A. Results sowed that sera from patients with ____ disease, trichuriasis or toxocariasis reacted strongly with soluble adult worm antigens of A, lumbricoides(ALSA)and that of A. B. Indications: For the treatment of the ____ infection , ascariasis . enterbiasis and strongyloides sterocoralis infection etc.",hydrate,perennial,*hookworm,chlorate
hydroelectricity,science,"9,10,11,12",9,,MC,5,A. The potential of ____ of one region varies from that of another. B. It had some effect for ____ taking part in electricity market in foreign countries.,*hydroelectricity,polygenic,diffract,polonium
inactivity,science,"9,10,11,12",9,,MC,5,"A. The ____ of the government was deplorable. B. For polio patients, however, something more than ____ was involved in the loss of calcium.",*inactivity,mirage,bluish,autosomal
inbreed,science,"9,10,11,12",9,,MC,5,"A. Honeybee breeders often ____ their bees in order to ensure desired traits. B. The morphology of anatomy and histology of vertebra and rib, and vertical compression on lumbar vertebrae in ____ line Banna mining were studied.",amniote,disulfide,puberty,*inbreed
incisor,science,"9,10,11,12",9,,MC,5,"A. The five categories of ____ and molar digestion are summarized for the avian predators in Table 3.14. B. As for the upper jaws, percentage ____ loss appears to be a more sensitive indicator of breakage than molar loss.",dung,rubidium,adenine,*incisor
lubricant,science,"9,10,11,12",9,,MC,5,A. Sweat is the ____ of success. B. I think humor is a great ____ for life.,*lubricant,cambium,hound,radioisotope
lymphocytes,science,"9,10,11,12",9,,MC,5,A. The present study suggested that blastogenic responses of T ____ were inhibited in acute T. gondii infection. B. White blood cells called granulocytes and ____ travel along the walls of blood vessels.,silkworm,*lymphocytes,ecologically,formic
meltdown,science,"9,10,11,12",9,,MC,5,A. Emergency cooling systems could fail and a reactor ____ could occur. B. A ____ at the reactor had only just been avoided.,biochemical,*meltdown,migratory,fluoride
mesh,science,"9,10,11,12",9,,MC,5,A. The windows were covered in wire ____ to keep out flies. B. We put some / a fine wire ____ over the chimney so that the birds wouldn't fall in.,*mesh,interestingly,constructively,extracellular
millipede,science,"9,10,11,12",9,,MC,5,"A. It is unique in the ____ world for its ability to roll up into a sphere as a means of protection. B. When I find a ____ insect, I rub it over my body.",*millipede,polyethylene,metamorphose,cyclical
muskrat,science,"9,10,11,12",9,,MC,5,"A. Minks also eat ____ carrion, and abandoned lodges provide valuable denning sites. B. The ____ is a swamp-dwelling rodent something like a large water vole.",osmotic,epidermal,ethane,*muskrat
mutant,science,"9,10,11,12",9,,MC,5,A. This ____ gene is thought to cause cancer. B. It was inevitable that his Ninja ____ turtle followed!,ammeter,magnetite,thylakoid,*mutant
nitrite,science,"9,10,11,12",9,,MC,5,A. Sodium ____ is dissolved in distilled water and diluted to volume. B. The safety of ____ used in the curing mixture has been under question.,peptide,collagen,*nitrite,refrigeration
olfactory,science,"9,10,11,12",9,,MC,5,"A. This ____ sense develops in the womb. B. Similarly, the plasma membrane of ____ cells seems to have an InsP -sensitive calcium channel.",siphon,*olfactory,testis,lubricate
parathyroid,science,"9,10,11,12",9,,MC,5,"A. Because ____ and renal function are normal, therapy with vitamin D is indicated. B. In this instance, with intact ____ and renal function, replacement therapy with vitamin Dis the therapy of choice.",phenotypic,*parathyroid,octave,carcinogen
pelvis,science,"9,10,11,12",9,,MC,5,A. Tilt the ____ to keep your tummy and bottom tucked in. B. I felt my ____ lifting off the ground.,detritivore,xenon,shingle,*pelvis
pepsin,science,"9,10,11,12",9,,MC,5,A. In our studies ____ output correlated closely with acid output. B. Acid - soluble and ____ - soluble collagens( ASC and PSC) were extracted from the skin of Channel catfish and partially characterized.,magenta,*pepsin,measles,supercluster
permanganate,science,"9,10,11,12",9,,MC,5,A. Potassium ____ and sodium hypochlorite being added to anaerobic waste to speed the digestion process. B. Inflammation gynaecology can use potassium ____ Mo?,recombinant,germanium,*permanganate,herbicide
photoperiodism,science,"9,10,11,12",9,,MC,5,"A. But there were obvious spring and strong ____ tendencies among present big spike cultivars. These need to improvement. B. For experimental purposes , scientists originally assumed that ____ worked through photosynthesis.",cattail,interferon,calorimeter,*photoperiodism
phototropism,science,"9,10,11,12",9,,MC,5,"A. The negative ____ module mainly contains lamp-house module equipped with light source and pervasion plate structure located on the upper of the lamp-house module. B. Nowadays, studies on gravitropism and ____ are active aspects in the field of plant physiology, many details of which have been studied.",*phototropism,metamorphism,beryllium,pharyngeal
polystyrene,science,"9,10,11,12",9,,MC,5,A. The ceiling was covered with ____ insulation tiles. B. Remove the distance piece - the softer ____ block is easier to remove without damaging the stem than a harder wooden block.,proliferation,luminol,anole,*polystyrene
prong,science,"9,10,11,12",9,,MC,5,A. The second ____ of the strategy is the provision of basic social services for the poor. B. This one had a ____ like a dagger in its head.,*prong,effusion,interstellar,operon
radiative,science,"9,10,11,12",9,,MC,5,"A. Numerical approach to vector ____ transfer equation for a layer of densely random, spherical scatterers is discussed. B. To accurately describe the fuel combustion and ____ heat transfer processes in furnaces is very crucial in comprehensive numerical simulation of ethylene pyrolyzer.",perigee,copepod,glycol,*radiative
reabsorb,science,"9,10,11,12",9,,MC,5,"A. Government expenditures can ____ these resources in the production of guided missiles, military aircraft, and new schools and highways. B. The use of a Poultice Powder will help ____ stains out of stone, concrete and grout surfaces.",*reabsorb,gasohol,pulsar,abdominal
rearrangement,science,"9,10,11,12",9,,MC,5,"A. The ____ of school classes may cause timetabling difficulties . B. Furthermore, a ____ of the IRF-gene was identified in one additional patient with acute lymphoblastic leukaemia.",biochemical,biota,*rearrangement,enthalpy
recyclable,science,"9,10,11,12",9,,MC,5,A. Many towns allow ____ items to be commingled for collection in a single container. B. We package our products in ____ materials.,triglyceride,brownian,*recyclable,posterior
regeneration,science,"9,10,11,12",9,,MC,5,A. The ____ of the city's downtown dock front will put it on a par with Nice or Cannes. B. The true ____ of devastated Docklands seemed like pie in the sky.,*regeneration,odorless,ecologically,parsec
resin,science,"9,10,11,12",9,,MC,5,"A. The ____ from which the oil is extracted comes from a small, tough tree. B. At this stage a ____ is used with a high level of adhesion.",*resin,aquaculture,krypton,forceps
riverbed,science,"9,10,11,12",9,,MC,5,A. The dry ____ finds no thanks for its past. B. The ____ was strewn with big boulders.,selenium,meristem,*riverbed,ionization
roentgen,science,"9,10,11,12",9,,MC,5,A. American free port - Mike the ink ____ cuproauride company stock price largely falls 1%. B. William ____ discovered X - rays.,dehydration,autosomal,intermolecular,*roentgen
saline,science,"9,10,11,12",9,,MC,5,A. We try to revegetate the ____ or alkaline lands near the seashore. B. The drug is suspended in a ____ solution.,unpolarized,inert,naphthalene,*saline
semipermeable,science,"9,10,11,12",9,,MC,5,"A. The coating film contained a biocompatible ____ material, cellulose acetate, and a water soluble pore-forming agent, poly(ethylene glycol). B. Reverse Osmosis (RO) system. A ____ membrane filter technology, can remove the dissolved salt and the organic matter efficiently.",adhesion,grate,*semipermeable,endosperm
simultaneous,science,"9,10,11,12",9,,MC,5,A. The explosion was almost ____ with the announcement. B. They grabbed each other's hands in ____ panic.,allergen,manure,*simultaneous,dehydration
stalactite,science,"9,10,11,12",9,,MC,5,"A. Jewel-tipped ____s hung from the cavern roof, aglow like many little lamps. B. I wanted to sculpt the ____s but we could not find the sculptors.",shingle,artificially,spawn,*stalactite
stoma,science,"9,10,11,12",9,,MC,5,A. Formation of a ____ requires the patient to change his usual bowel habit. B. He bathed again and the ____ care nurse then marked the proposed site for the ____ on his skin.,sickle,stabilize,legume,*stoma
supercool,science,"9,10,11,12",9,,MC,5,A. The effects of supersaturation and ____ on ice conversion to natural gas hydrate was studied. B. You know your laptop that was ____ years ago now gets 1minutes of battery life.,submicroscopic,*supercool,dormancy,unpolarized
supersonic,science,"9,10,11,12",9,,MC,5,A. In 196the first ____ airliner took flight . B. These planes travel at ____ speeds.,jawless,polarity,*supersonic,catalytic
tellurium,science,"9,10,11,12",9,,MC,5,A. The Al-si Alloy modified by ____ is an ideal material for making high gastight castings. B. The determination process of Si in the ____ dioxide by Silicon Molybdenum Blue Spectrophotometry is investigated.,*tellurium,diversification,synthase,pyruvic
tuatara,science,"9,10,11,12",9,,MC,5,"A. The ____ rate is significantly faster than for animals including the cave bear, lion, ox and horse. B. They found that, although ____ have remained largely physically unchanged over very long periods of evolution, they are evolving - at a DNA level - faster than any other animal yet examined.",kilowatt,varnish,environmentally,*tuatara
tubular,science,"9,10,11,12",9,,MC,5,A. The whole thing fits into a ____ box. B. The workmen rigged up some ____ scaffolding at once.,*tubular,septum,unequally,greenish
ultrasonic,science,"9,10,11,12",9,,MC,5,A. A handset would contain an ____ transmitter and the television fitted with a matching receiver. B. Three days after admission ____ appearances in the abdomen were normal.,fissure,proliferation,*ultrasonic,cotyledon
undigested,science,"9,10,11,12",9,,MC,5,"A. More ____ food molecules pass through the gut wall than in healthy individuals, making food intolerance much more likely. B. There are yellow or yellowy green, slimy and ____ stools.",*undigested,bauxite,leach,phospholipid
uniformitarianism,science,"9,10,11,12",9,,MC,5,"A. However, in recent decades geologists have been saying that the gradualistic ____ of Charles Lyell does not match the evidence. B. With this concept, he suggests, those great protagonists of ____, Hutton and Lyell, would have agreed.",superconduct,*uniformitarianism,supercool,photoperiodism
visibility,science,"9,10,11,12",9,,MC,5,A. The sand in the air reduced ____ to a hundred yards. B. The car has excellent all-round ____ .,lubricant,solubilities,*visibility,metamorphose
yellowish,science,"9,10,11,12",9,,MC,5,A. A gas lamp gave out a pale ____ light. B. The paper had a ____ tinge because it was so old.,municipality,*yellowish,phospholipid,reversible
abrasive,science,"9,10,11,12",8,,MC,5,A. She was a tough girl with rather an ____ manner. B. You'll need a strong ____ for cleaning this sink.,krypton,stalagmite,*abrasive,pharmaceutical
aftershock,science,"9,10,11,12",8,,MC,5,"A. They were already under stress, thanks to the ____ of last year's drought. B. A third ____ of the Six-Day War took place half a world away, in the Soviet Union.",fluke,collagen,tempest,*aftershock
anemia,science,"9,10,11,12",8,,MC,5,A. Patients who have severe ____ may experience fainting spells. B. In iron deficiency ____ complicated by other disorders which either increase serum iron or decrease the.,protista,centrifugal,*anemia,retrogradations
aneroid,science,"9,10,11,12",8,,MC,5,"A. An instrument for determining elevation, especially an ____ barometer used in aircraft that senses pressure changes accompanying changes in altitude. B. Any ____ gauge must be calibrated frequently.",electrolysis,unavailable,supercluster,*aneroid
anteater,science,"9,10,11,12",8,,MC,5,"A. The spiny ____ is a mammal, although a very primitive one. B. And yet, such sensitive elongations the ____ had, too, uncomplicated by assertions of power, even over ants.",fluoride,lactose,*anteater,hematite
bask,science,"9,10,11,12",8,,MC,5,A. I certainly don't want to ____ in any reflected glory . B. Crocodiles ____ on the small sandy beaches.,relativity,*bask,macroscopic,taxonomy
biogeography,science,"9,10,11,12",8,,MC,5,A. The muscid ____ of Qinghai - Xizang Plateau is studied. B. This peper expounds the dynamic problem of ____ in remote sensing of oceanic primary productivity based on the analysis of submarine light spectral response of algae photosynthesis.,measles,*biogeography,mycorrhizae,uphill
